;treffen bewegung seite;theater bühne rolle;könig zimmer jung;thl gr kirche;lassen weise mensch;blatt verfasser abendblatt;hiesig finden haus;blatt armee nachricht;könig majestät krankheit;bild kunst künstler;brief stadt richtung;kind jung frau;wissenschaft geist staat;staat nation gesetz;sprechen halten pferd
10_14_5_Miscellen_16.10.1810;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.7454545455;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.0181818182
10_14_6_Ueber_die_gestrige_Luftschiffahrt_des_Herrn_Claudius_Extrab;0.0010582011;0.0010582011;0.0010582011;0.0116402116;0.4137566138;0.0010582011;0.0328042328;0.0010582011;0.0116402116;0.0010582011;0.4243386243;0.022222222200000002;0.0010582011;0.053968254;0.022222222200000002
10_14_7_Polizeiliche_Tages-Mittheilungen._Extrablatt_v._16.10.1810;0.0133333333;0.0133333333;0.0133333333;0.0133333333;0.0133333333;0.0133333333;0.8133333333;0.0133333333;0.0133333333;0.0133333333;0.0133333333;0.0133333333;0.0133333333;0.0133333333;0.0133333333
10_15_1_Kunst-Ausstellung_Forts.;0.0012738854000000001;0.0012738854000000001;0.0012738854000000001;0.0140127389;0.19235668790000002;0.0012738854000000001;0.0012738854000000001;0.0012738854000000001;0.0012738854000000001;0.6636942675;0.0012738854000000001;0.11592356690000001;0.0012738854000000001;0.0012738854000000001;0.0012738854000000001
10_15_2_Theater._Unmagebliche_Bemerkung;0.0010810811;0.41189189190000003;0.0010810811;0.0118918919;0.2497297297;0.1416216216;0.0010810811;0.0010810811;0.0010810811;0.0118918919;0.0335135135;0.0118918919;0.0010810811;0.12;0.0010810811
10_15_3_An_die_Nachtigall;0.022222222200000002;0.022222222200000002;0.022222222200000002;0.022222222200000002;0.022222222200000002;0.022222222200000002;0.4666666667;0.022222222200000002;0.022222222200000002;0.022222222200000002;0.022222222200000002;0.24444444440000002;0.022222222200000002;0.022222222200000002;0.022222222200000002
10_01_1_Gebet_des_Zoroaster;0.0018018018;0.0378378378;0.0558558559;0.0378378378;0.6684684685000001;0.0018018018;0.0018018018;0.0018018018;0.0378378378;0.0018018018;0.0018018018;0.12792792790000002;0.0198198198;0.0018018018;0.0018018018
10_01_2_Fragment_eines_Schreibens_aus_Paris;0.06367713;0.1085201794;0.018834080700000002;0.0008968610000000001;0.4762331839;0.0008968610000000001;0.198206278;0.0008968610000000001;0.009865470900000001;0.018834080700000002;0.0816143498;0.0008968610000000001;0.0008968610000000001;0.018834080700000002;0.0008968610000000001
10_01_3_Tagesbegebenheiten;0.0181818182;0.0181818182;0.0181818182;0.3818181818;0.0181818182;0.2;0.0181818182;0.2;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.0181818182;0.0181818182
10_01_4_Redaktionsanzeige;0.0040816327;0.0040816327;0.0040816327;0.2489795918;0.0040816327;0.5755102041;0.1265306122;0.0040816327;0.0040816327;0.0040816327;0.0040816327;0.0040816327;0.0040816327;0.0040816327;0.0040816327
10_01_5_Extrablatt_zum_ersten_Berliner_Abendblatt;0.050931677;0.001242236;0.001242236;0.0385093168;0.0881987578;0.0633540373;0.547826087;0.001242236;0.0385093168;0.0260869565;0.0633540373;0.001242236;0.001242236;0.0385093168;0.0385093168
10_02_1_Freimuethige_Gedanken_bei_Gelegenheit_der_neuerrichteten_Univ;0.012154696100000001;0.0011049724;0.0453038674;0.0011049724;0.1447513812;0.012154696100000001;0.0011049724;0.0011049724;0.0011049724;0.0011049724;0.0011049724;0.0011049724;0.4762430939;0.2994475138;0.0011049724
10_02_2_Fragment_eines_Schreibens_aus_Paris_Beschlu;0.14782608700000002;0.0028985507;0.0028985507;0.031884058;0.0608695652;0.3217391304;0.14782608700000002;0.0028985507;0.0028985507;0.1188405797;0.0028985507;0.031884058;0.1188405797;0.0028985507;0.0028985507
10_02_3_Polizei-Rapport;0.0031746032000000003;0.0031746032000000003;0.1619047619;0.0031746032000000003;0.2253968254;0.0031746032000000003;0.5746031746;0.0031746032000000003;0.0031746032000000003;0.0031746032000000003;0.0031746032000000003;0.0031746032000000003;0.0031746032000000003;0.0031746032000000003;0.0031746032000000003
10_02_4_Tagesbegebenheiten_2.10.1810;0.49189189190000004;0.0054054054;0.0054054054;0.0054054054;0.0054054054;0.0054054054;0.0054054054;0.0594594595;0.11351351350000001;0.0594594595;0.2216216216;0.0054054054;0.0054054054;0.0054054054;0.0054054054
10_02_5_Anzeige_J._E._Hitzig;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.7714285714;0.1047619048;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001;0.009523809500000001
10_03_1_Freimuethige_Gedanken_bei_Gelegenheit_der_neuerrichteten_Univ;0.029383886300000002;0.0104265403;0.0009478673;0.0104265403;0.2758293839;0.0009478673;0.0009478673;0.0009478673;0.0009478673;0.0104265403;0.029383886300000002;0.0009478673;0.5601895735;0.0672985782;0.0009478673
10_03_2_An_unsern_Iffland;0.0033898305;0.2406779661;0.0033898305;0.0033898305;0.1050847458;0.0372881356;0.0711864407;0.1050847458;0.0033898305;0.1389830508;0.0033898305;0.2745762712;0.0033898305;0.0033898305;0.0033898305
10_03_3_Franzosen-Billigkeit;0.0042553191;0.0042553191;0.2595744681;0.0042553191;0.0042553191;0.0042553191;0.0042553191;0.3021276596;0.0042553191;0.0042553191;0.0468085106;0.1744680851;0.0042553191;0.0468085106;0.1319148936
10_03_4_Polizei-Rapport._Vom_3._October;0.0031746032000000003;0.13015873020000002;0.0666666667;0.034920634900000004;0.13015873020000002;0.0031746032000000003;0.3206349206;0.0031746032000000003;0.1619047619;0.0031746032000000003;0.0666666667;0.0031746032000000003;0.034920634900000004;0.034920634900000004;0.0031746032000000003
10_04_1_Freimuethige_Gedanken_bei_Gelegenheit_der_neuerrichteten_Univ;0.0012903226;0.0012903226;0.0658064516;0.0012903226;0.13032258060000002;0.0012903226;0.0012903226;0.0012903226;0.0012903226;0.0529032258;0.0012903226;0.0012903226;0.6722580645;0.0658064516;0.0012903226
